Parent Item ID,Parent Name,Parent Internal ID,Component Item ID,Component Name,Component Internal ID
K008,ข้าวผัดโบราณ,22530,OPT-0004A,ลดเค็ม,42068
K008,ข้าวผัดโบราณ,22530,OPT-0004B,ไม่กระเทียม,42069
K008,ข้าวผัดโบราณ,22530,OPT-0004C,ไม่ใส่น้ำตาล,42070
K008,ข้าวผัดโบราณ,22530,OPT-0004D,ไม่ใส่ซีอิ๊วดำ,42071
K008,ข้าวผัดโบราณ,22530,OPT-0009A,ไม่ใส่พริกไทย,42077
K008,ข้าวผัดโบราณ,22530,OPT-0005A,ไข่ดาวไม่สุก,42168
K008,ข้าวผัดโบราณ,22530,OPT-0005B,ไข่ดาวสุก,42169
K008,ข้าวผัดโบราณ,22530,OPT-0005C,ไข่ดาวสุกกรอบ,42072
K008,ข้าวผัดโบราณ,22530,OPT-0006A,ไม่เอาคะน้า,42073
K008,ข้าวผัดโบราณ,22530,OPT-0006B,ไม่เอาหอมใหญ่,42268
K008,ข้าวผัดโบราณ,22530,OPT-0006C,ไม่เอามะเขือเทศ,42074
K013,ข้าวกะเพราไก่คาราเกะ,22535,OPT-0004A,ลดเค็ม,42068
K013,ข้าวกะเพราไก่คาราเกะ,22535,OPT-0004B,ไม่กระเทียม,42069
K013,ข้าวกะเพราไก่คาราเกะ,22535,OPT-0004C,ไม่ใส่น้ำตาล,42070
K013,ข้าวกะเพราไก่คาราเกะ,22535,OPT-0004D,ไม่ใส่ซีอิ๊วดำ,42071
K013,ข้าวกะเพราไก่คาราเกะ,22535,OPT-0005A,ไข่ดาวไม่สุก,42168
K013,ข้าวกะเพราไก่คาราเกะ,22535,OPT-0005B,ไข่ดาวสุก,42169
K013,ข้าวกะเพราไก่คาราเกะ,22535,OPT-0005C,ไข่ดาวสุกกรอบ,42072
K013,ข้าวกะเพราไก่คาราเกะ,22535,OPT-0006D,ข้าวน้อย,42075
K013,ข้าวกะเพราไก่คาราเกะ,22535,OPT-0007A,ไม่ใส่กะเพรา,42076
K014,มาม่าผัดกะเพราไก่,22536,OPT-0004A,ลดเค็ม,42068
K014,มาม่าผัดกะเพราไก่,22536,OPT-0004B,ไม่กระเทียม,42069
K014,มาม่าผัดกะเพราไก่,22536,OPT-0004C,ไม่ใส่น้ำตาล,42070
K014,มาม่าผัดกะเพราไก่,22536,OPT-0004D,ไม่ใส่ซีอิ๊วดำ,42071
K014,มาม่าผัดกะเพราไก่,22536,OPT-0005A,ไข่ดาวไม่สุก,42168
K014,มาม่าผัดกะเพราไก่,22536,OPT-0005B,ไข่ดาวสุก,42169
K014,มาม่าผัดกะเพราไก่,22536,OPT-0005C,ไข่ดาวสุกกรอบ,42072
K014,มาม่าผัดกะเพราไก่,22536,OPT-0007A,ไม่ใส่กะเพรา,42076
K015,มาม่าต้มยำทรงเครื่อง,22537,OPT-0004A,ลดเค็ม,42068
K015,มาม่าต้มยำทรงเครื่อง,22537,OPT-0004B,ไม่กระเทียม,42069
K015,มาม่าต้มยำทรงเครื่อง,22537,OPT-0004C,ไม่ใส่น้ำตาล,42070
K015,มาม่าต้มยำทรงเครื่อง,22537,OPT-0004D,ไม่ใส่ซีอิ๊วดำ,42071
K015,มาม่าต้มยำทรงเครื่อง,22537,OPT-0005A,ไข่ดาวไม่สุก,42168
K015,มาม่าต้มยำทรงเครื่อง,22537,OPT-0005B,ไข่ดาวสุก,42169
K015,มาม่าต้มยำทรงเครื่อง,22537,OPT-0005C,ไข่ดาวสุกกรอบ,42072
K017,ข้าวผัดอเมริกัน,22539,OPT-0004A,ลดเค็ม,42068
K017,ข้าวผัดอเมริกัน,22539,OPT-0004B,ไม่กระเทียม,42069
K017,ข้าวผัดอเมริกัน,22539,OPT-0004C,ไม่ใส่น้ำตาล,42070
K017,ข้าวผัดอเมริกัน,22539,OPT-0004D,ไม่ใส่ซีอิ๊วดำ,42071
K017,ข้าวผัดอเมริกัน,22539,OPT-0005A,ไข่ดาวไม่สุก,42168
K017,ข้าวผัดอเมริกัน,22539,OPT-0005B,ไข่ดาวสุก,42169
K017,ข้าวผัดอเมริกัน,22539,OPT-0005C,ไข่ดาวสุกกรอบ,42072
K017,ข้าวผัดอเมริกัน,22539,OPT-0006A,ไม่เอาคะน้า,42073
K017,ข้าวผัดอเมริกัน,22539,OPT-0006B,ไม่เอาหอมใหญ่,42268
K017,ข้าวผัดอเมริกัน,22539,OPT-0006C,ไม่เอามะเขือเทศ,42074
K018,แกงจืดเต้าหู้หมูสับ,22540,OPT-0004A,ลดเค็ม,42068
K018,แกงจืดเต้าหู้หมูสับ,22540,OPT-0009A,ไม่ใส่พริกไทย,42077
K019,ต้มยำกุ้ง,22541,OPT-0004A,ลดเค็ม,42068
K023,ไข่ดาว,22545,OPT-0005A,ไข่ดาวไม่สุก,42168
K023,ไข่ดาว,22545,OPT-0005B,ไข่ดาวสุก,42169
K023,ไข่ดาว,22545,OPT-0005C,ไข่ดาวสุกกรอบ,42072
K037,ข้าวกะเพราหมูสับ,22559,OPT-0004A,ลดเค็ม,42068
K037,ข้าวกะเพราหมูสับ,22559,OPT-0004B,ไม่กระเทียม,42069
K037,ข้าวกะเพราหมูสับ,22559,OPT-0004C,ไม่ใส่น้ำตาล,42070
K037,ข้าวกะเพราหมูสับ,22559,OPT-0004D,ไม่ใส่ซีอิ๊วดำ,42071
K037,ข้าวกะเพราหมูสับ,22559,OPT-0005A,ไข่ดาวไม่สุก,42168
K037,ข้าวกะเพราหมูสับ,22559,OPT-0005B,ไข่ดาวสุก,42169
K037,ข้าวกะเพราหมูสับ,22559,OPT-0005C,ไข่ดาวสุกกรอบ,42072
K037,ข้าวกะเพราหมูสับ,22559,OPT-0006D,ข้าวน้อย,42075
K037,ข้าวกะเพราหมูสับ,22559,OPT-0007A,ไม่ใส่กะเพรา,42076
K038,ข้าวกะเพราไก่ชิ้น,22560,OPT-0004A,ลดเค็ม,42068
K038,ข้าวกะเพราไก่ชิ้น,22560,OPT-0004B,ไม่กระเทียม,42069
K038,ข้าวกะเพราไก่ชิ้น,22560,OPT-0004C,ไม่ใส่น้ำตาล,42070
K038,ข้าวกะเพราไก่ชิ้น,22560,OPT-0004D,ไม่ใส่ซีอิ๊วดำ,42071
K038,ข้าวกะเพราไก่ชิ้น,22560,OPT-0005A,ไข่ดาวไม่สุก,42168
K038,ข้าวกะเพราไก่ชิ้น,22560,OPT-0005B,ไข่ดาวสุก,42169
K038,ข้าวกะเพราไก่ชิ้น,22560,OPT-0005C,ไข่ดาวสุกกรอบ,42072
K038,ข้าวกะเพราไก่ชิ้น,22560,OPT-0006D,ข้าวน้อย,42075
K038,ข้าวกะเพราไก่ชิ้น,22560,OPT-0007A,ไม่ใส่กะเพรา,42076
K039,ข้าวไก่กระเทียม,22561,OPT-0004A,ลดเค็ม,42068
